district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Amherst-Pelham,06050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33690959,1270,1283,12373.75046,779.8751579,1957.040202,1601.322732,5074.013525,22.2,NA,0,0,0,0,0,0,0,0,210,203,212,206,220,224,8,5,5,167000,170000,3
Andover,00090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117777377.5,5456,5574,11971.70085,468.6056715,1305.456199,1799.956557,2936.509362,20.4,NA,54,313,349,442,402,417,458,455,452,476,437,437,408,446,28,NA,NA,NA,NA,NA
Argosy Collegiate Charter School (District),35090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8288240.76,566,571,NA,NA,NA,NA,NA,20.1,NA,0,0,0,0,0,0,0,108,109,109,65,85,64,31,0,NA,NA,NA,NA,NA
Arlington,00100000,0.01,0.01,NA,NA,69150,71863.56,NA,49464,48480,NA,97671,104626,NA,NA,96863420.28,5866,5755,9084.623837,513.7821539,1416.273914,1176.254157,2613.836126,15.7,NA,65,453,484,533,467,508,461,483,456,436,363,352,359,335,0,11,11,207021,207021,2
Ashburnham-Westminster,06100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32558334.15,2272,2194,8055.666466,373.5189596,1457.555747,1077.450452,2007.230074,19.4,NA,29,136,144,184,156,161,178,191,189,179,166,165,132,172,12,1,1,170000,170000,3
Ashland,00140000,NA,0.02,0.03,0.025,NA,75931.87,77830.17,NA,52020,53320.5,NA,100773.14,103292.47,NA,43599903.48,2870,2729,8933.616301,514.0026309,1325.07852,884.773952,2033.671213,17.3,NA,50,191,180,202,200,222,208,229,224,218,195,175,224,211,0,7,7,194555,202955,6
Assabet Valley Regional Vocational Technical,08010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23870752.12,1139,1149,13226.50049,816.0704747,2271.449987,1638.427673,2580.050831,25,NA,0,0,0,0,0,0,0,0,0,0,306,291,283,269,0,5,5,182173,187977,4
Athol-Royalston,06150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26318318.35,1539,1425,8097.245302,454.4240397,1831.229192,1120.475772,2876.755964,24,NA,46,100,109,117,127,122,118,113,116,111,100,79,78,85,4,4,4,160513,162013,5
Atlantis Charter (District),04910000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18466839,1277,1296,NA,NA,NA,NA,NA,13.4,NA,0,110,110,110,109,110,110,110,110,110,58,87,76,86,0,NA,NA,NA,NA,NA
Attleboro,00160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92005267.71,5866,5752,8460.741905,463.6911736,1022.486024,1288.378943,2430.286978,17.5,NA,104,335,416,397,407,422,456,433,463,479,450,448,471,456,15,5,5,192474,196774,3
Auburn,00170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38350080.14,2573,2518,8498.893862,331.3199485,1348.078662,1016.380222,2801.607449,10.8,NA,66,161,182,187,167,206,195,213,218,202,168,201,176,171,5,1,1,162200,172200,3
Avon,00180000,0.015,0.015,0.015,NA,67825,68843,71234,46878,47581,50204,93623,95027,96452,NA,13140054,715,683,10248.41646,718.0368523,1042.962039,1435.937933,2991.6445,19.9,0.765,11,42,46,52,54,50,62,55,59,61,53,49,50,39,0,NA,NA,NA,NA,NA
Ayer Shirley School District,06160000,0.03,0.03,NA,NA,63986,65906,NA,45194,46550,NA,91809,94563,NA,NA,30712776.3,1622,1603,NA,NA,NA,NA,NA,21.5,0.75,51,118,142,120,128,140,137,136,137,137,99,95,81,82,0,7,7,186327,191327,3
Barnstable,00200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98005720.48,4751,4713,10773.35383,682.0869141,1754.70262,1348.4296200000001,2884.980332,17.6,NA,124,327,342,359,379,340,364,358,351,389,355,335,334,345,11,NA,NA,NA,NA,NA
Baystate Academy Charter Public School (District),35020000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8382148.79,456,469,NA,NA,NA,NA,NA,20.7,NA,0,0,0,0,0,0,0,71,79,77,70,67,53,52,0,NA,NA,NA,NA,NA
